"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","setUp","Default Suite","Wed May 28 15:53:44 BDT 2025","broken","Wed May 28 15:53:44 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","setUp"
"","2108","validatePaginationPageTwoClick","Default Suite","Wed May 28 15:03:48 BDT 2025","passed","Wed May 28 15:03:50 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","validatePaginationPageTwoClick"
"","11606","addSpecificBookToCartAndProceed","Default Suite","Wed May 28 14:24:04 BDT 2025","broken","Wed May 28 14:24:15 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","addSpecificBookToCartAndProceed"
"","3376","filterBooksByCategory","Default Suite","Wed May 28 15:03:44 BDT 2025","passed","Wed May 28 15:03:48 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","filterBooksByCategory"
"","9866","validateNavigateToAuthorPage","Default Suite","Wed May 28 15:03:34 BDT 2025","passed","Wed May 28 15:03:44 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","validateNavigateToAuthorPage"
"","2587","addSpecificBookToCart","Default Suite","Fri Jul 04 17:20:39 BDT 2025","failed","Fri Jul 04 17:20:42 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","addSpecificBookToCart"
"","1997","validatePaginationPageTwoClick","Default Suite","Fri Jul 04 17:20:37 BDT 2025","passed","Fri Jul 04 17:20:39 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","validatePaginationPageTwoClick"
"","1152","testScrollDownAndNavigateToNextPage","Default Suite","Wed May 28 13:03:45 BDT 2025","broken","Wed May 28 13:03:46 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","testScrollDownAndNavigateToNextPage"
"","2","proceedToCheckout","Default Suite","Fri Jul 04 17:20:42 BDT 2025","skipped","Fri Jul 04 17:20:42 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","proceedToCheckout"
"","10335","CartBook","Default Suite","Wed May 28 14:10:23 BDT 2025","broken","Wed May 28 14:10:33 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","CartBook"
"","8712","testOpenHomePage","Default Suite","Mon May 05 14:59:57 BDT 2025","broken","Mon May 05 15:00:06 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","testOpenHomePage"
"","3224","addSpecificBookToCart","Default Suite","Wed May 28 15:03:50 BDT 2025","failed","Wed May 28 15:03:53 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","addSpecificBookToCart"
"","27572","testLoginWithManualInput","Default Suite","Wed May 28 15:03:07 BDT 2025","passed","Wed May 28 15:03:34 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","testLoginWithManualInput"
"","9368","validateNavigateToAuthorPage","Default Suite","Fri Jul 04 17:20:24 BDT 2025","passed","Fri Jul 04 17:20:34 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","validateNavigateToAuthorPage"
"","26","LoginPage","Default Suite","Tue May 27 19:09:11 BDT 2025","broken","Tue May 27 19:09:11 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","LoginPage"
"","1520","scrollAndGoToNextPageIfAvailable","Default Suite","Wed May 28 13:06:51 BDT 2025","broken","Wed May 28 13:06:53 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","scrollAndGoToNextPageIfAvailable"
"","3","setUp","Default Suite","Wed May 28 02:34:30 BDT 2025","broken","Wed May 28 02:34:30 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","setUp"
"","67","validatePaginationPagesAreClickable","Default Suite","Wed May 28 13:13:11 BDT 2025","failed","Wed May 28 13:13:12 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","validatePaginationPagesAreClickable"
"","5","loginBasedOnUserChoice","Default Suite","Thu May 15 14:59:13 BDT 2025","passed","Thu May 15 14:59:13 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","loginBasedOnUserChoice"
"","5442","validatePaginationNextButton","Default Suite","Wed May 28 13:17:41 BDT 2025","failed","Wed May 28 13:17:46 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","validatePaginationNextButton"
"","3695","filterBooksByCategory","Default Suite","Fri Jul 04 17:20:34 BDT 2025","passed","Fri Jul 04 17:20:37 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","filterBooksByCategory"
"","12","LoginWithEmailOTP","Default Suite","Wed May 07 01:51:49 BDT 2025","broken","Wed May 07 01:51:49 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","LoginWithEmailOTP"
"","1","proceedToCheckout","Default Suite","Wed May 28 15:03:53 BDT 2025","skipped","Wed May 28 15:03:53 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","proceedToCheckout"
"","1325","validatePaginationPageTwoExistsAndClick","Default Suite","Wed May 28 13:34:53 BDT 2025","failed","Wed May 28 13:34:54 BDT 2025","TestCase.LoginTest","RokomariProjects","TestCase.LoginTest","validatePaginationPageTwoExistsAndClick"
"","19689","testLoginWithManualInput","Default Suite","Fri Jul 04 17:20:04 BDT 2025","passed","Fri Jul 04 17:20:24 BDT 2025","TestCase.TestPage","RokomariProjects","TestCase.TestPage","testLoginWithManualInput"
